stage,date,team_1,ft,team_2
Group,9 Dec 2015,Chelsea FC,2-0,FC Porto
Group,9 Dec 2015,KAA Gent,2-1,Zenit St. Petersburg
Group,9 Dec 2015,Valencia CF,0-2,Olympique Lyon
Knockout,16 Feb 2016,Paris Saint-Germain,2-1,Chelsea FC
Knockout,16 Feb 2016,SL Benfica,1-0,Zenit St. Petersburg
Knockout,17 Feb 2016,KAA Gent,2-3,VfL Wolfsburg
Knockout,17 Feb 2016,AS Roma,0-2,Real Madrid CF
Knockout,23 Feb 2016,Arsenal FC,0-2,FC Barcelona
Knockout,23 Feb 2016,Juventus,2-2,Bayern München
Knockout,24 Feb 2016,PSV Eindhoven,0-0,Atletico Madrid
Knockout,24 Feb 2016,Dinamo Kiev,1-3,Manchester City FC
Knockout,8 Mar 2016,VfL Wolfsburg,1-0,KAA Gent
Knockout,8 Mar 2016,Real Madrid CF,2-0,AS Roma
Knockout,9 Mar 2016,Chelsea FC,1-2,Paris Saint-Germain
Knockout,9 Mar 2016,Zenit St. Petersburg,1-2,SL Benfica
Knockout,15 Mar 2016,Atletico Madrid,0-0,PSV Eindhoven
Knockout,15 Mar 2016,Manchester City FC,0-0,Dinamo Kiev
Knockout,16 Mar 2016,Bayern München,2-2,Juventus
Knockout,16 Mar 2016,FC Barcelona,3-1,Arsenal FC
Knockout,5 Apr 2016,FC Barcelona,2-1,Atletico Madrid
Knockout,5 Apr 2016,Bayern München,1-0,SL Benfica
Knockout,6 Apr 2016,Paris Saint-Germain,2-2,Manchester City FC
Knockout,6 Apr 2016,VfL Wolfsburg,2-0,Real Madrid CF
Knockout,12 Apr 2016,Real Madrid CF,3-0,VfL Wolfsburg
Knockout,12 Apr 2016,Manchester City FC,1-0,Paris Saint-Germain
Knockout,13 Apr 2016,Atletico Madrid,2-0,FC Barcelona
Knockout,13 Apr 2016,SL Benfica,2-2,Bayern München
Knockout,26 Apr 2016,Manchester City FC,0-0,Real Madrid CF
Knockout,27 Apr 2016,Atletico Madrid,1-0,Bayern München
Knockout,3 May 2016,Bayern München,2-1,Atletico Madrid
Knockout,4 May 2016,Real Madrid CF,1-0,Manchester City FC
Knockout,28 May 2016,Real Madrid CF,1-1,Atletico Madrid
